order	vincode	pts_ref	gender	bu-bni-corr	pali_name	english_name	offence_type_pali	offence_type_eng	severity	chapter_theme	chapter	vagga	rule_theme	rule_topic	purpose	critics	rule_pali	rule_english	no_offense_factors	offense_factors_bmc	notes	formulas	sangha_acts	useful_texts	suttacentral
1.0	BU-PJ1	Vin.3.1–3.40	Monks	BNI-PJ1	Methunadhamma	Sexual Intercourse	Parajika	Expulsion	Full/ grave offense/ wrong doing	Defeated			Celibacy	Sex	Self restraint	Bhikkhus	Yo pana bhikkhu bhikkhūnaṃ sikkhāsājīvasamāpanno sikkhaṃ appaccakkhāya dubbalyaṃ anāvikatvā methunaṃ dhammaṃ paṭiseveyya, antamaso tiracchānagatāyapi, pārājiko hoti asaṃvāso	Whatever bhikkhu while undertaking the rules of training of bhikkhus, who has not announced his inability and has not given up the training, should engage in sexual intercourse even with an animal then that bhikkhu is one who has committed a parajika offence, and one who is no longer permitted to remain in the bhikkhu sangha	For one who does not know, for one who does not consent, for one who is insane, for one who is deranged, for one who is overwhelmed by pain, for the first offender	1. Effort - one sexual organ enters the other, even to the extent of a sesame seed. 2. Objects - human, as well as non-human (deva, yakkha or peta) and animal. 3. Knowledge - knowledge that the act is occuring (i.e. not asleep). 4. Consent - must be given mentally at least	A bhikkhu engaging in genital, oral, or anal intercourse is subject to this rule regardless if there is a covering, such as a condom, which role he plays, of whether he is actively or passively involved, and whether any of the parties involved reaches orgasm. intercourse as part of a tantric ritual incurs the full penalty, as well as If one puts up no struggle when assaulted and feels mental consent, even if only fleetingly during the act			AN3.85 - AN3.88. BU-SS1 - BU-SS4	https://suttacentral.net/pli-tv-bu-vb-pj?view=normal
2.0	BU-PJ2	Vin.3.1–3.40	Monks	BNI-PJ2	Adinnādāna	Theft	Parajika	Expulsion	Full/ grave offense/ wrong doing	Defeated			Harmful	Stealing	Self restraint	Laity	Yo pana bhikkhu gāmā vā araññā vā adinnaṃ theyyasaṅkhātaṃ ādiyeyya, yathārūpe adinnādāne rājāno coraṃ gahetvā haneyyuṃ vā bandheyyuṃ vā pabbājeyyuṃ vā corosi bālosi mūḷhosi thenosīti, tathārūpaṃ bhikkhu adinnaṃ ādiyamāno ayampi pārājiko hoti asaṃvāso	"Whatever bhikkhu should take with intention to steal, from a village or the forest (outside the village), an article which has not been given of such a value that because of having stolen it Kings having caught the thief would execute, imprison, or banish him saying, ""You are a thief, you are a fool, you are an idiot, you are a robber,"" then that bhikkhu who steals such an article which has not been given is one who has committed a parajika offence and one who is no longer permitted to remain in the bhikkhu sangha"	If one perceives it as oneʼs own; if one takes it on trust; if one borrows it; if it is the property of a ghost or an animal; if one perceives it as discarded; if one is insane; if oneʼs mind is unhinged; if one is overwhelmed by pain; if one is the first offender	1. Object - anything belonging to a human being or a group of them. 2. Perception - one percieves that it belongs to someone else. 3. Intention - one decides to steal it. 4. Effort - one makes some kind of effort to take it. 5. Value - the object's value should be more than five màsakas	Only if the owner abandons all sense of ownership would it genuinely count as abandoned. A bhikkhu can commit an offense not only if he himself steals an object, but also if he incites another to steal. Group of bhikkhus steal valuables worth collectively more than five māsakas but which when divided among them yield shares worth less than five māsakas each, all incur a pārājika. A bhikkhu who takes things from the Community’s common stores, assuming he has the right to help himself, commits no offense even if the assumption proves false. A wise policy when one is in doubt about an item’s ownership would be not to take the item for one’s own, or at most to take it on loan. When a bhikkhu steals an item worth 1/24 troy ounce of gold or more, is full offense. When the item is of lesser value, there will be doubt—and when concerning a pārājika, the tradition of the Vinaya consistently gives the bhikkhu the benefit of the doubt. Special cases from commentaries: Smuggling: A bhikkhu carrying items subject to an import duty hides them as he goes through customs. Destruction of property False dealing: A bhikkhu makes counterfeit money or uses counterfeit weights. Shifting a boundary marker. About the concept of bhaṇḍadeyya, compensation, from commentary, the Canon does not allow a bhikkhu to ask his supporters for donations to pay to another lay person—except for his parents Mv 7.22 but The Community, if it sees fit, can force him to apologize to the owner Cv 1 20			MN 61, Bu Np 18-20, bmc2-18. rightly take an object on trust, Mv 8 19.1	https://suttacentral.net/pli-tv-bu-vb-pj?view=normal
3.0	BU-PJ3	Vin.3.1–3.40	Monks	BNI-PJ3	Manussaviggaha	Murder	Parajika	Expulsion	Full/ grave offense/ wrong doing	Defeated			Harmful	Kill / harm	Self restraint	Laity	"Yo pana bhikkhu sañcicca manussaviggahaṃ jīvitā voropeyya, satthahārakaṃ vāssa pariyeseyya, maraṇavaṇṇaṃ vā saṃvaṇṇeyya, maraṇāya vā samādapeyya ""ambho purisa kiṃ tuyhiminā pāpakena dujjīvitena, mataṃ te jīvitā seyyo""ti, iti cittamano cittasaṅkappo anekapariyāyena maraṇavaṇṇaṃ vā saṃvaṇṇeyya, maraṇāya vā samādapeyya, ayampi pārājiko hoti asaṃvāso"	"Whatever bhikkhu should intentionally take the life of a human being, or provide poison or a lethal weapon (for that purpose), or praise the benefits of dying or show a method in order to cause or enable a person to commit suicide saying, ""Sir, what is the use of living this miserable and painful life? Death would be better than living like this,"" or with this purpose and intention in mind should by any other way praise the benefits of dying or show a method in order to cause or enable a person to commit suicide, then that bhikkhu is one who has committed a parajika offence and one who is no longer permitted to remain in the bhikkhu sangha"	If it was unintentional, for one not knowing, for one not aiming at death, for one who is insane, for the first offender	1. Object - a human being, at least an embryo. 2. Intention - knowingly, consciously, deliberately, purposefully wanting to cause that person's death. 3. Perception - one perceives it as a living human being. 4. Effort - an action is done to bring about its death. 5. Result - the life faculty of that person is cut off	Who kills a “non-human being”—a yakkha, nāga, or peta—incurs a thullaccaya. if he were to strike a person unthinkingly in a sudden fit of rage, without being clear about what his intention was, it would not qualify as “intentional” here. bhikkhus, out of compassion for an ill friend, hasten his death incur the full offense. if one’s accomplice does not follow one’s instructions precisely, one is absolved of an offense. describing the advantages of dying might be delivered by gesture, by voice, by writing, or by means of a messenger. inaction does not fulfill the factor of effort here but actively assisting in a murder would. attempting suicide that do not endanger others, it seems better to follow the Buddha’s wisdom in not legislating about this issue at all,			DN 15, BU-PC65, advice on how to encourage patients facing death. MN 143, SN36.7, SN55.54, and AN6.16 Arahant suicide SN4.23,	https://suttacentral.net/pli-tv-bu-vb-pj?view=normal
4.0	BU-PJ4	Vin.3.1–3.40	Monks	BNI-PJ4	Uttarimanussadhamma	False Claim to Superhuman Attainments	Parajika	Expulsion	Full/ grave offense/ wrong doing	Defeated			Speech	Lying	Self restraint	Buddha Rule	"Yo pana bhikkhu anabhijānaṃ uttarimanussadhammaṃ attupanāyikaṃ alamariyañāṇadassanaṃ samudācareyya ""iti jānāmi, iti passāmī""ti, tato aparena samayena samanuggāhīyamāno vā asamanuggāhīyamāno vā āpanno visuddhāpekkho evaṃ vadeyya ""ajānamevaṃ āvuso avacaṃ jānāmi, apassaṃ passāmi, tucchaṃ musā vilapi""nti, aññatra adhimānā, ayampi pārājiko hoti asaṃvāso"	"Whatever bhikkhu without having experienced the extraordinary knowledge and vision of jhana or enlightenment (magga and phala), which are beyond normal human experience, should claim to possess either of them saying, ""I know this, I see this,""and if after that at another time he is ques-tioned or even if he is not questioned having committed this offence and desiring to become pure he should say, ""Venerable Sir, without having known this I said I know this, without having seen this I said I see this, what I said was a useless lie,"" unless it was because of overestimation then that bhikkhu is one who has committed a parajika offence and one who is no longer permitted to remain in the bhikkhu sangha"	If one makes the claim because of overestimation; for one not intending to make a claim; for one who is insane; for one who is deranged; for one who is overwhelmed by pain; for the first offender	1. Object - a superior human state. 2. Perception - one perceives it as not present in oneself. 3. Effort - one addresses a human being, mentioning the state in connection with oneself. 4. Intention - with the intent to misrepresent the truth, motivated by an evil desire. 5. Result - the other person understands what is being said The commentaries add a fifth factor—result—saying that one’s listener must understand what one is saying but this factor appears to be based on a misreading of the Vibhaṅga	This is the ultimate great thief: he who claims an unfactual, non-existent superior human state. Statement explicitly mentions oneself, although the reference to the state may be either explicit or implicit full offense. A statement in which one mentions oneself—rather than the state—implicitly in connection with a superior human state is not grounds for a pārājika. motive is an essential part of the intention. evil desire is the wish to have others believe that skillful states not present within oneself are actually there. pārājika if the bhikkhu is aware of what he is saying, and a thullaccaya if not			AN5.53, BU-PC8,	https://suttacentral.net/pli-tv-bu-vb-pj?view=normal
5.0	BU-SS1	Vin.3.1–3.40	Monks		Sukkavisaṭṭhi	Masturbation	Sanghadisesa	Suspension	Full/ grave offense/ wrong doing		1 Admonition		Celibacy	Improper	Self restraint	Bhikkhus	Sañcetanikā sukkavissaṭṭhi aññatra supinantā saṅghādiseso	The intentional emission of semen except whilst dreaming is a sanghadisesa offence	If he was dreaming or in a semi-conscious state before fully waking up from sleep, if there was no intentional emission, if he was mad, unhinged, in pain, a beginner	Full offense factors are result, intention, and effort: emission of semen caused by an intentional effort. Only Intention and effort— thullaccaya. Any single factor or any other combination of two factors—is not grounds for an offense	Semen falls from its base when it enters the urinary tract, because from that point on the process is irreversible. getting someone else to make the effort for one fulfills the factor of effort here. adding the extra factor that the physical effort has to involve one’s own penis—directly contradicts the Vibhaṅga so cannot stand. this rule is where one makes oneself emit semen, and not where one makes others emit. dukkaṭa for staring lustfully at a woman’s private parts. A bhikkhu who has an ejaculation while thinking sensual thoughts but without making any physical effort to cause it, incurs no penalty				https://suttacentral.net/pli-tv-bu-vb-ss?view=normal
6.0	BU-SS2	Vin.3.1–3.40	Monks		Kāyasaṁsagga	Physical Contact	Sanghadisesa	Suspension	Full/ grave offense/ wrong doing		1 Admonition		Celibacy	Sexes segregation	Self restraint	Laity	Yo pana bhikkhu otiṇṇo vipariṇatena cittena mātugāmena saddhiṃ kāyasaṃsaggaṃ samāpajjeyya hatthaggāhaṃ vā veṇiggāhaṃ vā aññatarassa vā aññatarassa vā aṅgassa parāmasanaṃ, saṅghādiseso	Whatever bhikkhu being lustful and with perverted mind should engage in physical contact with a woman; holding her hand, her hair or touching any other part of her body, has committed a sanghadisesa offence	If it is not on purpose, not intentional, not knowing, not agreeing, if he is mad, unhinged, in pain, a beginner, the bhikkhu does not desire contact or he does desire contact and yet makes no effort	1. The object is a human female 2. Perceives the object to be a woman 3. Acting with lustful intension 4. Make an effort to have physical contact with her 5. Engages in contact by holding hands etc	This rule not because women are bad, but because bhikkhus sometimes can be. thullaccaya for making bodily contact with a paṇḍaka, a female yakkha, or a dead woman; and a dukkaṭa for bodily contact with a man (or boy), a wooden doll, or a male or female animal. a bhikkhu who caresses his mother, sister, daughter out of familiar affection is dukkata Even a momentary desire to enjoy the sensation of physical contact is enough. Lustful bodily contact with a male transvestite perceived to be a woman dukkaṭa. For concept of anāmāsa not based in the Canon. the Buddha never ask the bhikkhu if he made contact with the clothed or unclothed portions of the woman’s body. This suggests whether she was clothed or unclothed is irrelevant to the offense. In passive contact he either desire the contact or the desire to escape			BMC2, Appendix V	https://suttacentral.net/pli-tv-bu-vb-ss?view=normal
7.0	BU-SS3	Vin.3.1–3.40	Monks		Duṭṭhullavācā	Indecent Speech	Sanghadisesa	Suspension	Full/ grave offense/ wrong doing		1 Admonition		Celibacy	Sexes segregation	Self restraint	Laity	Yo pana bhikkhu otiṇṇo vipariṇatena cittena mātugāmaṃ duṭṭhullāhi vācāhi obhāseyya yathā taṃ yuvā yuvatiṃ methunupasaṃhitāhi, saṅghādiseso	Whatever bhikkhu being lustful and with perverted mind should speak lewdly to a woman, just like a young man speaks to a young woman concerning sex, has committed a sanghadisesa offence	If he is aiming at (explaining) the meaning, if he is aiming at (explaining) dhamma, if he is aiming at (explaining) the teaching, if he is mad, if he is a beginner	1) Object: a woman, i.e., any female human being experienced enough to know what is properly said and improperly said, what is lewd and not lewd. 2) Perception: The bhikkhu perceives her to be a woman. 3) Intention: He is impelled by lust: He wants to enjoy saying something lewd or improper. 4) Effort: He makes remarks praising, criticizing, begging, imploring, asking, quizzing, advising, instructing, or insulting with reference to her genitals or anus, or to her performing sexual intercourse. 5) Result: The woman immediately understands	A woman who does not know the language in which one is speaking would also not fulfill the factor of object here. Not necessarily having any desire actually to have sex with her. The Vibhaṅga makes clear that this rule does not cover statements or insults made in anger, they're cover in Pc 2. using slang expressions, euphemisms, or indirect statements fullfil this factor. If she understands only later, that does not turn the lesser offense into a saṅghādisesa				https://suttacentral.net/pli-tv-bu-vb-ss?view=normal
8.0	BU-SS4	Vin.3.1–3.40	Monks		Attakāmpāricariya	Encouraging Someone to Serve One’s Desires	Sanghadisesa	Suspension	Full/ grave offense/ wrong doing		1 Admonition		Celibacy	Sexes segregation	Self restraint	Laity	"Yo pana bhikkhu otiṇṇo vipariṇatena cittena mātugāmassa santike attakāmapāricariyāya vaṇṇaṃ bhāseyya ""etadaggaṃ bhagini pāricariyānaṃ yā mādisaṃ sīlavantaṃ kalyāṇadhammaṃ brahmacāriṃ etena dhammena paricareyyā""ti methunupasaṃhitena, saṅghādiseso"	"Whatever bhikkhu being lustful and with perverted mind should in the presence of a woman speak in praise of the offering of sexual intercourse to himself saying, ""Sister, with the highest form of service a woman should serve a virtuous, celibate, good natured person like myself,"" has commit-ted a sanghadisesa offence"	If he speaks, saying: “Support (us) with the requisites of robes, alms-food, lodgings, medicine for the sick,” if he is mad, if he is a beginner	1. Human female 2. Perceives the object to be human female 3. Lust to get sexual service for oneself 4. Speaks to woman in praise of her ministering to his sexual needs; making reference to sexual intercourse 5. The women understand immediately	Even today, there are people who believe that having sex with spiritual teachers is beneficial for one’s spiritual well being. The allusion doesn't has to be explicit. reference to oneself need not be explicit, either. physical gesture— include writing a letter—can fulfill the factor of effort here as well				https://suttacentral.net/pli-tv-bu-vb-ss?view=normal
9.0	BU-SS5	Vin.3.1–3.40	Monks	BNI-SS7	Sañcaritta	Matchmaking	Sanghadisesa	Suspension	Full/ grave offense/ wrong doing		1 Admonition		Speech	Improper	Differ from laity	Laity	Yo pana bhikkhu sañcarittaṃ samāpajjeyya, itthiyā vā purisamatiṃ purisassa vā itthimatiṃ, jāyattane vā jārattane vā, antamaso taṃkhaṇikāyapi, saṅghādiseso	Whatever bhikkhu should engage in matchmaking by informing a woman that a man desires her to be his wife or informing a man that a woman desires him to be her husband or even arranging a temporary partnership with a prostitute, has committed a sanghadisesa offence	If it is for the Order, or for a shrine, or if he is ill; if he is going on business, if he is mad, if he is a beginner	1. They are human being 2. They are unmarried 3. Accept the proposal from one party 4. Make an inquiry to the other party 5. Report back the findings to the first party	Includes helping to arrange not only marriages and affairs but also anything from appointments with a prostitute to arrangements for X to be Y’s date. Also if the bhikkhu gets someone else to act for him. Simply carrying a letter, not knowing its contents, would not fulfill the factor of effort. no offense for effect a reconciliation between an estranged couple who are not divorced, but a full offense for a couple who are divorce. Not involving any sort of romantic liaison—is also exempt from penalty as long as it is not a form of subservience to lay people Ss 13			BU-SS13	https://suttacentral.net/pli-tv-bu-vb-ss?view=normal
10.0	BU-SS6	Vin.3.1–3.40	Monks		Kuṭikāra	Building a Hut	Sanghadisesa	Suspension	Full/ grave offense/ wrong doing		1 Admonition		Dwelling	Construction	Easy to support	Laity	Saññācikāya pana bhikkhunā kuṭiṃ kārayamānena assāmikaṃ attuddesaṃ pamāṇikā kāretabbā, tatridaṃ pamāṇaṃ, dīghaso dvādasa vidatthiyo sugatavidatthiyā, tiriyaṃ sattantarā, bhikkhū abhinetabbā vatthudesanāya, tehi bhikkhūhi vatthu desetabbaṃ anārambhaṃ saparikkamanaṃ. sārambhe ce bhikkhu vatthusmiṃ aparikkamane saññācikāya kuṭiṃ kāreyya, bhikkhū vā anabhineyya vatthudesanāya, pamāṇaṃ vā atikkāmeyya, saṅghādiseso	"When a hut (kuti) is being made by a bhikkhu by his own asking, without a donor, and intended for himself then it should be made to the size limits. The size limits are twelve ""sugata"" spans in length (outside) and seven ""sugata"" spans across inside. Bhikkhus should be invited in order to appoint a site and they should appoint a site which is not dangerous and has a clearing around it. If a bhikkhu should make a hut by his own asking on a site which is dangerous and without a clearing, or should not invite bhikkhus in order to appoint a site, or should exceed the size limits, it is a sanghadisesa offence"	If it is (built) in a mountain-cave as a hut, as a hut of tiṇa-grass, for the good of another except it be as a house, there is no offence in any of these circumstances, nor if he is out of his mind or a beginner	1 Effort: One completes, or gets someone else to complete, through begging for its materials, 2 Object: a hut that exceeds the standard mentioned in the rule or whose site has not been designated by the Community. 3 Intention: One intends the hut for one’s own use	Dwellings might belong either to the Community or to an individual (or group of individuals). To dedicate something for one’s own use, is to claim ownership over it. This rule does not apply to a cave, or to a grass hut. Approximately 3 x 1.75 m. Free of disturbances is (1) not the abode of such creatures who might do harm to the building, or 2 the inhabitants. 3 not close to places that may disturb peace. Adequate space means that there is enough room on the site for a yoked wagon or a man carrying a ladder to go around. Suggest that there is no need to cut the trees down of the surrounding areas. All the Community or selected some members to go and inspect he bhikkhu returns to the Community and formally asks it to approve the site. The transaction statement involves a motion and one proclamation. Once this has passed, the bhikkhu may start construction. bhikkhu engaged in construction work should not be burdensome to the laity		Motion-1proclamation	AN7.21, BU-PC15-17, bmc2-18,	https://suttacentral.net/pli-tv-bu-vb-ss?view=normal
